TEAM_ID,NICKNAME,LEAGUE_ID,SEASON_ID,STANDINGSDATE,CONFERENCE,TEAM,G,W,L,W_PCT,HOME_RECORD,ROAD_RECORD
1610612752,Warriors,0,22019,2020-02-12,East,New York,55,17,38,309,8-19,9-19
1610612750,Warriors,0,22019,2020-02-02,West,Minnesota,48,15,33,313,6-18,9-15
1610612750,Warriors,0,22019,2020-02-01,West,Minnesota,48,15,33,313,6-18,9-15
1610612750,Warriors,0,22019,2020-02-09,West,Minnesota,51,16,35,314,7-19,9-16
1610612750,Warriors,0,22019,2020-02-08,West,Minnesota,51,16,35,314,7-19,9-16
1610612766,Warriors,0,22019,2020-02-07,East,Charlotte,51,16,35,314,8-16,8-19
1610612766,Warriors,0,22019,2020-02-06,East,Charlotte,51,16,35,314,8-16,8-19
1610612766,Warriors,0,22019,2020-02-05,East,Charlotte,51,16,35,314,8-16,8-19
1610612766,Warriors,0,22019,2020-02-04,East,Charlotte,51,16,35,314,8-16,8-19
1610612740,Pelicans,0,22019,2020-01-03,West,New Orleans,35,11,24,314,6-11,5-13
1610612764,Warriors,0,22019,2020-01-05,East,Washington,35,11,24,314,6-10,5-14
1610612764,Warriors,0,22019,2020-01-04,East,Washington,35,11,24,314,6-10,5-14
1610612752,Warriors,0,22019,2020-02-11,East,New York,54,17,37,315,8-18,9-19
1610612752,Warriors,0,22019,2020-02-10,East,New York,54,17,37,315,8-18,9-19
1610612752,Warriors,0,22019,2020-02-09,East,New York,54,17,37,315,8-18,9-19
1610612765,Warriors,0,22019,2020-02-27,East,Detroit,60,19,41,317,11-20,8-21
1610612765,Warriors,0,22019,2020-02-26,East,Detroit,60,19,41,317,11-20,8-21
1610612765,Warriors,0,22019,2020-02-25,East,Detroit,60,19,41,317,11-20,8-21
1610612764,Warriors,0,22019,2020-01-19,East,Washington,41,13,28,317,8-11,5-17
1610612764,Warriors,0,22019,2020-01-18,East,Washington,41,13,28,317,8-11,5-17
1610612764,Warriors,0,22019,2020-01-17,East,Washington,41,13,28,317,8-11,5-17
1610612750,Warriors,0,22019,2020-01-31,West,Minnesota,47,15,32,319,6-18,9-14
1610612750,Warriors,0,22019,2020-01-30,West,Minnesota,47,15,32,319,6-18,9-14
1610612750,Warriors,0,22019,2020-01-29,West,Minnesota,47,15,32,319,6-18,9-14
1610612750,Warriors,0,22019,2020-01-28,West,Minnesota,47,15,32,319,6-18,9-14
1610612750,Warriors,0,22019,2020-01-27,West,Minnesota,47,15,32,319,6-18,9-14
1610612752,Warriors,0,22019,2020-02-08,East,New York,53,17,36,321,8-18,9-18
1610612766,Warriors,0,22019,2020-02-11,East,Charlotte,53,17,36,321,8-17,9-19
1610612766,Warriors,0,22019,2020-02-10,East,Charlotte,53,17,36,321,8-17,9-19
1610612765,Warriors,0,22019,2020-02-24,East,Detroit,59,19,40,322,11-20,8-20
1610612765,Warriors,0,22019,2020-02-23,East,Detroit,59,19,40,322,11-20,8-20
1610612765,Warriors,0,22019,2020-03-01,East,Detroit,62,20,42,323,11-20,9-22
1610612740,Pelicans,0,22019,2020-01-07,West,New Orleans,37,12,25,324,6-12,6-13
1610612740,Pelicans,0,22019,2020-01-06,West,New Orleans,37,12,25,324,6-12,6-13
1610612764,Warriors,0,22019,2020-01-09,East,Washington,37,12,25,324,7-10,5-15
1610612764,Warriors,0,22019,2020-01-08,East,Washington,37,12,25,324,7-10,5-15
